EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;AC-MONTAGE WECHSELRICHTER Huawei;;
Untertitel;Montage und Lieferung Huawei Hybrid-Wechselrichter;;
Beschreibung_fett;Materialien:;;
;- Huawei SUN2000 Hybrid Wechselrichter inkl. Smart Energy Meter;;
;- DC-Überspannungsschutz;;
;- Zuleitung Wechselrichter;;
;- Netzwerkleitung;;
;- Notwendiges Kleinmaterial und Leitungen;;
Beschreibung_fett;Leistungen:;;
;- Montage und Anschluss Wechselrichter;;
;- Leitungsverlegung String- und Erdungsleitung bis Wechselrichter (Aufputz) maximal 20 m Kabel im weißen Kunststoff oder weißen Blechkanal;;
;- Anschluss an die Zähleranlage;;
;- Inbetriebnahme;;
;- Restmaterial-/Verpackungsmüllentsorgung;;
;- Anmeldung und Registrierung im Marktstammdatenregister;;
;;;
H66TG230001;Wechselrichter Huawei 3.0 (3,0kW);€/Stk.;2715
H66TG230501;Wechselrichter Huawei 4.0 (4,0kW);€/Stk.;3240,8
H66TG231001;Wechselrichter Huawei 5.0 (5,0kW);€/Stk.;3230,1
H66TG231501;Wechselrichter Huawei 6.0 (6,0kW);€/Stk.;3427,8
H66TG232001;Wechselrichter Huawei 8.0 (8,0kW);€/Stk.;3376,6
H66TG232501;Wechselrichter Huawei 10.0 (10,0kW);€/Stk.;3651,7
100BKG118;Wechselrichter Huawei 12.0 (12,0kW);€/Stk.;5127,6
100BKG119;Wechselrichter Huawei 25.0 (25,0kW);€/Stk.;6116,7
